Subject,True Label,Predicted Label
570,1,1
571,1,1
572,2,0
573,0,1
574,1,0
575,0,1
576,0,0
577,1,1
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,1,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,1
590,0,1
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,1,0
599,0,0
600,2,1
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,1,1
609,0,0
610,0,0
611,1,1
612,1,1
613,0,1
614,0,0
615,0,1
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,1
624,0,0
625,1,1
626,1,1
627,0,0
628,0,0
629,1,0
630,0,0
631,0,0
632,0,1
633,0,0
634,0,0
635,1,1
636,0,0
637,0,0
638,0,0
639,1,1
640,0,0
641,2,1
642,1,1
643,1,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,1
649,0,1
650,0,0
651,0,2
652,2,2
653,0,0
654,0,0
655,0,0
656,0,0
657,1,0
658,0,0
659,0,1
660,1,1
661,1,0
662,0,0
663,0,1
664,0,1
665,0,0
666,0,0
667,1,0
668,0,0
669,1,1
670,0,0
671,0,0
672,1,1
673,0,0
674,1,1
675,2,1
676,2,0
677,0,0
678,2,1
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,1,0
687,1,0
688,0,0
689,0,0
690,0,0
691,0,0
692,1,0
693,0,0
694,2,2
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,1,1
702,1,1
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,1,0
712,2,2
713,0,0
714,0,0
715,1,1
716,0,0
717,0,0
718,0,1
719,0,0
720,1,0
721,1,1
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,2,1
728,0,0
729,0,0
730,0,0
731,1,1
732,0,0
733,1,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,1
742,1,1
743,0,0
744,0,0
745,1,1
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,1
753,0,1
754,0,1
755,0,0
756,0,0
757,2,2
758,0,1
759,1,1
760,1,2
761,1,1
762,0,0
763,0,1
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,1
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,1,0
782,0,1
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,1
791,0,0
792,0,0
793,1,1
794,2,2
795,0,0
796,0,0
797,0,0
798,1,0
799,0,0
800,1,1
801,0,0
802,0,0
803,1,1
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,1
812,0,0
813,0,0
814,0,1
815,0,0
816,0,0
817,0,0
818,0,0
819,0,1
820,2,2
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,1,1
831,1,0
832,0,0
833,0,1
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,1
840,0,0
841,1,1
842,1,0
843,2,1
844,1,1
845,0,1
846,2,2
847,0,0
848,0,0
849,1,1
850,0,0
851,0,0
852,0,1
853,1,1
854,1,1
855,0,1
856,0,0
857,2,1
858,0,0
859,0,0
860,0,0
861,0,0
862,1,1
863,0,0
864,1,1
865,0,0
866,0,0
867,0,0
868,0,0
869,1,0
870,1,0
871,0,0
872,0,0
873,0,0
874,1,2
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,1,0
882,0,0
883,1,1
884,0,0
885,0,0
886,1,2
887,2,2
888,0,0
889,1,1
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,1
898,0,0
899,0,0
900,0,0
901,0,0
902,2,2
903,1,0
904,0,0
905,0,1
906,0,0
907,1,1
908,0,0
909,1,0
910,1,1
911,0,0
912,0,2
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,1,2
923,1,1
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,1,1
942,0,0
943,0,0
944,0,0
945,0,0
946,1,0
947,1,1
948,0,0
949,0,0
950,0,0
951,0,1
952,0,0
953,0,1
954,0,0
955,1,1
956,0,0
957,0,0
958,0,0
959,0,1
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,1,1
966,0,0
967,0,0
968,1,1
969,1,0
970,1,2
971,0,0
972,1,1
973,2,2
974,1,1
975,0,0
976,0,0
977,1,0
978,1,0
979,1,0
980,0,0
981,0,0
982,1,1
983,0,0
984,1,1
985,0,1
986,0,0
987,1,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
1000,0,0
1001,0,1
1002,0,0
1003,0,0
1004,1,0
1005,1,1
1006,0,0
1007,0,0
1008,1,1
1009,0,0
1010,1,0
1011,0,1
1012,0,0
1013,1,1
1014,0,0
1015,0,0
1016,0,0
1017,2,2
1018,0,0
1019,0,1
1020,0,1
1021,0,0
1022,0,0
1023,0,1
1024,1,0
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,0,0
1036,0,0
1037,1,1
1038,0,0
1039,0,0
1040,0,0
1041,0,0
1042,1,0
1043,0,0
1044,1,1
1045,0,0
1046,2,2
1047,0,0
1048,0,0
1049,0,0
1050,0,0
1051,1,2
1052,0,0
1053,0,0
1054,0,1
1055,0,0
1056,1,1
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,1,1
1062,0,0
1063,0,2
1064,0,0
1065,0,0
1066,0,0
1067,0,0
1068,0,0
1069,0,0
1070,0,0
1071,0,0
1072,1,0
1073,0,0
1074,1,1
1075,0,0
1076,0,0
1077,1,1
1078,0,0
1079,0,0
1080,0,0
1081,1,0
1082,0,0
1083,0,0
1084,0,1
1085,0,0
1086,0,0
1087,1,1
1088,0,0
1089,0,0
1090,0,0
1091,0,0
1092,1,1
1093,0,0
1094,2,1
1095,0,0
1096,0,0
1097,0,0
1098,0,0
1099,1,0
1100,1,2
1101,0,1
1102,0,0
1103,0,0
1104,0,0
1105,0,0
1106,0,0
1107,0,0
1108,0,0
1109,1,1
1110,0,0
1111,0,0
1112,0,1
1113,0,0
1114,0,0
1115,0,0
1116,0,0
1117,2,0
1118,1,0
1119,0,0
1120,1,1
1121,0,0
1122,0,0
1123,0,0
1124,0,0
1125,0,0
1126,0,1
1127,0,0
1128,0,0
1129,0,0
1130,1,1
1131,0,0
1132,0,0
1133,0,0
1134,0,0
1135,0,0
1136,0,0
1137,0,0
1138,0,0
1139,0,0
1140,0,0
1141,0,1
1142,0,0
1143,1,1
1144,0,0
1145,0,0
1146,0,0
1147,2,1
1148,0,0
1149,1,1
1150,0,1
1151,0,1
1152,1,1
1153,2,2
1154,0,0
1155,0,0
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1160,0,1
1161,0,0
1162,0,0
1163,1,0
1164,0,0
1165,1,1
1166,0,0
1167,0,0
1168,0,1
1169,0,0
1170,0,1
1171,0,0
1172,0,1
1173,0,0
1174,1,1
1175,0,0
1176,0,0
1177,0,0
1178,0,0
1179,1,1
1180,0,1
1181,0,0
1182,1,2
1183,0,0
1184,0,0
1185,0,1
1186,0,0
1187,0,0
1188,0,0
1189,0,0
1190,1,1
1191,0,0
1192,0,0
1193,0,0
1194,0,0
1195,0,0
1196,0,0
1197,1,0
1198,2,1
1199,0,0
1200,0,0
1201,0,0
1202,0,0
1203,0,0
1204,0,0
1205,1,0
1206,0,0
1207,1,0
1208,1,1
1209,0,1
1210,0,0
1211,0,0
1212,0,0
1213,0,0
1214,0,0
1215,0,0
1216,0,0
1217,0,0
1218,0,0
1219,0,0
1220,0,0
1221,1,1
1222,0,0
1223,1,1
1224,0,0
1225,1,1
1226,1,1
1227,0,0
1228,0,0
1229,0,0
1230,0,0
1231,0,0
1232,1,1
1233,0,0
1234,0,0
1235,0,1
1236,0,1
1237,0,0
1238,0,0
1239,1,1
1240,1,0
1241,1,2
1242,0,0
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,0,0
1249,0,0
1250,0,0
1251,0,0
1252,2,2
1253,0,0
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,0,0
1259,0,0
1260,0,0
1261,0,1
1262,0,0
1263,0,1
1264,0,0
1265,0,0
1266,0,0
1267,0,0
1268,0,0
1269,0,0
1270,0,1
1271,0,0
1272,1,1
1273,1,0
1274,1,0
1275,1,0
1276,1,0
1277,0,0
1278,0,0
1279,0,0
1280,1,0
1281,0,0
1282,0,0
1283,0,0
1284,0,0
1285,0,0
1286,0,0
1287,0,0
1288,0,0
1289,0,0
1290,0,0
1291,0,0
1292,2,2
1293,0,0
1294,0,1
1295,0,0
1296,1,1
1297,1,1
1298,0,0
1299,1,1
1300,0,0
1301,0,0
1302,1,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1307,0,0
1308,0,0
1309,0,0
1310,0,0
1311,0,0
1312,0,0
1313,0,1
1314,0,0
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,0
1320,0,0
1321,1,2
1322,0,2
1323,1,2
1324,0,1
1325,0,0
1326,2,1
1327,2,2
1328,0,0
1329,2,1
1330,1,0
1331,0,0
1332,0,0
1333,0,0
1334,0,0
1335,0,1
1336,0,0
1337,0,0
1338,1,1
1339,0,0
1340,1,1
1341,0,0
1342,0,0
1343,0,0
1344,0,0
1345,0,0
1346,0,0
1347,1,1
1348,0,0
1349,0,0
1350,0,0
1351,0,0
1352,0,1
1353,0,0
1354,0,0
1355,2,1
1356,0,0
1357,1,1
1358,0,0
1359,0,0
1360,1,2
1361,0,0
1362,1,2
1363,0,0
1364,0,0
1365,1,0
1366,1,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,1,1
1372,0,0
1373,0,0
1374,0,0
1375,1,2
1376,0,0
1377,0,0
1378,1,1
1379,0,0
1380,1,1
1381,0,0
1382,0,0
1383,0,0
1384,0,0
1385,1,0
1386,1,0
1387,0,0
1388,0,1
1389,0,0
1390,0,0
1391,0,0
1392,1,0
1393,1,0
1394,0,0
1395,1,0
1396,0,0
1397,0,0
1398,0,1
1399,0,0
1400,1,1
1401,0,0
1402,0,0
1403,1,1
1404,0,0
1405,0,0
1406,0,0
1407,0,1
1408,0,0
1409,0,0
1410,0,0
1411,0,0
1412,1,1
1413,0,0
1414,0,0
1415,0,1
1416,0,0
1417,0,0
1418,0,0
1419,0,0
1420,0,0
1421,1,0
1422,0,0
1423,0,0
1424,0,0
1425,0,0
1426,0,0
1427,0,0
1428,0,0
1429,0,1
1430,0,0
1431,1,0
1432,0,0
1433,1,1
1434,0,0
1435,0,0
1436,0,0
1437,0,0
1438,0,0
1439,0,0
1440,0,0
1441,0,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,1,0
1447,2,1
1448,0,0
1449,0,0
1450,0,0
1451,0,0
1452,0,0
1453,0,0
1454,1,1
1455,2,1
1456,0,0
1457,1,1
1458,1,2
1459,0,0
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,2,1
1466,1,0
1467,1,2
1468,0,0
1469,0,0
1470,1,0
1471,0,0
1472,2,1
1473,0,0
1474,0,0
1475,0,0
1476,0,0
1477,0,0
1478,0,0
1479,0,0
1480,0,0
1481,0,0
1482,0,1
1483,0,0
1484,0,0
1485,0,0
1486,1,0
1487,1,1
1488,0,0
1489,1,1
1490,0,0
1491,0,0
1492,0,1
1493,0,0
1494,0,0
1495,0,0
1496,0,0
1497,0,0
1498,0,1
1499,0,0
1500,0,0
1501,1,1
1502,1,0
1503,2,2
1504,1,1
1505,2,1
1506,1,1
1507,0,1
1508,1,0
1509,0,0
1510,1,1
1511,0,0
1512,0,0
1513,0,0
1514,0,0
1515,0,0
1516,0,0
1517,0,1
1518,0,0
1519,0,0
1520,2,2
1521,0,0
1522,0,0
1523,0,0
1524,0,0
1525,0,0
1526,1,1
1527,1,2
1528,0,0
1529,1,0
1530,1,0
1531,0,0
1532,2,1
1533,0,0
1534,1,1
1535,0,0
1536,0,0
1537,0,0
1538,1,0
1539,1,1
1540,0,1
1541,1,1
1542,1,0
1543,0,0
1544,0,1
1545,0,0
1546,0,0
1547,0,0
1548,0,0
1549,0,0
1550,0,1
1551,0,0
1552,0,0
1553,1,2
1554,0,0
1555,2,0
1556,0,0
1557,0,0
1558,0,0
1559,0,0
1560,0,0
1561,0,1
1562,0,0
1563,0,0
1564,0,0
1565,1,2
1566,0,2
1567,0,1
1568,0,0
1569,0,0
1570,0,0
1571,0,0
1572,0,0
1573,1,1
1574,1,1
1575,0,2
1576,0,0
1577,0,0
1578,1,0
1579,0,0
1580,0,0
1581,0,0
1582,0,0
1583,0,0
1584,0,0
1585,0,0
1586,0,0
1587,1,1
1588,0,0
1589,0,0
1590,1,0
1591,0,0
1592,0,0
1593,0,0
1594,0,0
1595,0,0
1596,1,1
1597,0,0
1598,1,1
1599,0,0
1600,0,0
1601,0,1
1602,0,0
1603,2,1
1604,0,0
1605,0,0
1606,1,1
1607,0,0
1608,0,0
1609,1,0
1610,0,0
1611,1,0
1612,0,0
1613,1,2
1614,0,1
1615,0,1
1616,0,0
1617,1,0
1618,0,0
1619,0,0
1620,0,0
1621,0,0
1622,0,0
1623,1,0
1624,0,0
1625,0,0
1626,0,0
1627,1,1
1628,1,1
1629,0,0
1630,0,0
1631,1,0
1632,1,0
1633,0,0
1634,1,2
1635,1,0
1636,0,0
1637,0,0
1638,0,0
1639,0,0
1640,0,0
1641,0,0
1642,0,0
1643,0,0
1644,0,0
1645,0,0
1646,1,0
1647,0,0
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,2,2
1656,0,0
1657,0,0
1658,0,0
1659,0,0
1660,0,0
1661,0,0
1662,1,1
1663,0,0
1664,0,1
1665,0,0
1666,0,0
1667,0,0
1668,0,0
1669,0,0
1670,0,2
1671,0,0
1672,0,0
1673,0,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,1,0
1679,0,0
1680,0,0
1681,0,1
1682,0,0
1683,0,0
1684,0,0
1685,1,0
1686,0,0
1687,0,0
1688,0,0
1689,0,0
1690,0,0
1691,1,0
1692,1,0
1693,0,0
1694,0,0
1695,2,1
1696,0,0
1697,1,2
1698,0,1
1699,1,1
1700,2,2
1701,0,0
1702,0,0
1703,2,2
1704,0,1
1705,0,0
1706,0,0
1707,0,0
1708,0,0
1709,0,0
1710,0,0
1711,0,0
1712,0,0
1713,0,1
1714,0,0
1715,0,1
1716,0,0
1717,0,0
1718,2,2
1719,1,1
1720,0,0
1721,2,1
1722,1,1
1723,1,0
1724,0,0
1725,0,1
1726,0,0
1727,0,0
1728,0,0
1729,0,0
1730,0,0
1731,0,0
1732,0,2
1733,0,1
1734,0,0
1735,0,0
1736,0,0
1737,0,0
1738,0,0
1739,0,0
1740,0,0
1741,0,0
1742,0,0
1743,0,0
1744,1,1
1745,1,1
1746,0,0
1747,0,0
1748,0,0
1749,1,0
1750,0,0
1751,0,0
1752,0,0
1753,0,0
1754,0,0
1755,0,1
1756,0,0
1757,0,0
1758,0,0
1759,2,1
1760,1,0
1761,0,0
1762,0,0
1763,1,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,0,0
1769,0,0
1770,0,0
1771,0,0
1772,0,0
1773,1,0
1774,0,0
1775,0,0
1776,1,2
1777,0,0
1778,0,0
1779,0,0
1780,0,0
1781,0,0
1782,1,1
1783,0,0
1784,0,0
1785,0,0
1786,0,0
1787,0,0
1788,0,0
1789,0,1
1790,0,0
1791,1,1
1792,0,0
1793,0,0
1794,1,1
1795,0,0
1796,0,0
1797,0,0
1798,0,0
1799,0,0
1800,1,0
1801,0,0
1802,0,0
1803,0,1
1804,0,0
1805,0,1
1806,0,0
1807,1,1
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,1,1
1814,0,0
1815,0,0
1816,0,0
1817,0,1
1818,0,1
1819,0,0
1820,0,0
1821,0,0
1822,1,1
1823,2,1
1824,0,0
1825,1,0
1826,1,0
1827,1,1
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,1
1837,1,1
1838,0,1
1839,1,1
1840,0,0
1841,0,0
1842,0,0
1843,1,1
1844,0,0
1845,0,0
1846,1,1
1847,0,1
1848,0,0
1849,1,1
1850,0,0
1851,0,0
1852,0,0
1853,1,0
1854,0,0
1855,0,0
1856,0,1
1857,0,0
1858,0,0
1859,0,1
1860,0,0
1861,1,1
1862,0,1
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,1,0
1869,0,0
1870,0,0
1871,0,2
1872,0,0
1873,0,1
1874,0,0
1875,1,0
1876,1,2
1877,0,0
1878,0,0
1879,0,1
1880,2,2
1881,1,0
1882,2,2
1883,0,0
1884,0,0
1885,0,0
1886,1,1
1887,2,2
1888,0,0
1889,2,1
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,1,1
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,1
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,1
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,1,2
1921,0,2
1922,0,0
1923,0,0
1924,1,1
1925,0,1
1926,1,0
1927,0,0
1928,0,0
1929,0,0
1930,0,1
1931,2,2
1932,0,0
1933,0,0
1934,0,0
1935,1,1
1936,0,0
1937,0,1
1938,0,0
1939,1,1
1940,0,0
1941,1,0
1942,0,0
1943,0,0
1944,0,0
1945,0,1
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,1,1
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,2,1
1959,0,0
1960,1,1
1961,1,0
1962,0,0
1963,1,1
1964,0,0
1965,0,0
1966,1,1
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,1
1979,0,0
1980,0,1
1981,0,1
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,1,1
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,1,1
1992,1,1
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,1,1
1999,0,1
2000,0,0
2001,0,0
2002,1,0
2003,1,0
2004,0,2
2005,0,0
2006,1,1
2007,1,1
2008,1,0
2009,1,0
2010,0,0
2011,0,0
2012,1,2
2013,0,0
2014,0,0
2015,0,0
2016,1,2
2017,0,0
2018,0,1
2019,0,0
2020,0,0
2021,1,0
2022,0,0
2023,0,0
2024,0,0
2025,0,0
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,0
2034,0,1
2035,1,1
2036,0,0
2037,0,0
2038,1,1
2039,0,0
2040,0,0
2041,0,0
2042,0,0
2043,0,1
2044,1,0
2045,0,0
2046,2,1
2047,0,0
2048,1,0
2049,0,0
2050,0,0
2051,0,0
2052,0,0
2053,0,0
2054,0,1
2055,0,0
2056,0,0
2057,0,0
2058,0,0
2059,0,0
2060,0,1
2061,0,0
2062,1,1
2063,2,2
2064,0,0
2065,0,0
2066,0,0
2067,1,1
2068,0,0
2069,0,0
2070,0,0
2071,0,0
2072,0,0
2073,0,0
2074,0,0
2075,0,0
2076,0,0
2077,0,1
2078,0,0
2079,0,0
2080,1,1
2081,1,0
2082,0,0
2083,0,0
2084,0,1
2085,0,0
2086,1,0
2087,0,0
2088,0,0
2089,0,0
2090,1,1
2091,1,2
2092,0,1
2093,1,2
2094,0,0
2095,0,1
2096,0,1
2097,1,1
2098,0,0
2099,0,0
2100,0,0
2101,0,0
2102,1,0
2103,0,0
2104,1,1
2105,0,0
2106,0,2
2107,1,1
2108,2,2
2109,0,0
2110,0,0
2111,1,0
2112,0,0
2113,0,2
2114,0,0
2115,1,1
2116,1,1
2117,0,0
2118,0,0
2119,0,0
2120,0,0
2121,0,0
2122,1,0
2123,0,1
2124,2,1
2125,0,0
2126,0,0
2127,0,0
2128,0,0
2129,0,0
2130,0,0
2131,2,1
2132,1,0
2133,0,0
2134,0,1
2135,0,1
2136,1,1
2137,1,1
